,alert_key,cust_id,risk_rank,occupation_code,total_asset,AGE,probability
43,352558,609ca842d3c873f3606404f8741eec8d7fbdfeef00e80bd64e92f85132352eef,3,19.0,1302688.0,6,0.093638471
44,352651,9586b80d3ad1d74c0a1efe792cae2ecd073243fb01ed33fa1f70867748596bd5,3,3.0,262604.0,6,0.092786763
45,352654,8ad6c338a1078ea5139423c7243914c0201f4afa21def82600d46594bff8e852,1,18.0,171726.0,6,0.386191743
46,352658,2cbae2a984f9c7a8749097027ac7a00052bfee7536a287071fb3ea50b351f323,3,19.0,344441.0,5,0.72221143
47,352660,da500130fbe4a29397af9a08e1dfdc2b646309a669d1b2796b2f28e5931b38d9,1,17.0,158772.0,5,0.843606673
48,352670,05d16120e622640438421a39564db6eedc105f0e343435ac445f72ddfb6c386b,1,17.0,2384805.0,5,0.355372188
49,352680,1b455871464af23a6e0d85f1da41adbba10f5913cdda5572ca4af9a43ceb4d5a,1,19.0,0.0,2,0.465135641
50,352683,40fa92acb89d1ebb319f0f200d31a5fcbdfcbd8ad432d732a880545a69f2c5e8,3,17.0,2112.0,2,0.601375458
51,352684,85560737ffda7254ba16b71e4c5b519b85a51942ab02c69ca358f1d4d8f83acc,3,17.0,461707.0,3,0.624402767
52,352685,4dfeca8a959845f1ed0a40340b8c53525bb477c5c37a7068d6383515d211c881,1,10.0,409561.0,4,0.180670949
53,352686,f284d9a1f047636cf371af0d1e2cc1a8583c413aca0e347538758b914e00eeec,1,13.0,131985.0,4,0.245096476
54,352691,5c8203758d604e065e40f5192d41077acdb92b1121bd5358436411be10072351,3,12.0,848586.0,2,0.401335083
55,352692,1efec00739f069a9dd3bb1ca0ae9e1262e62548f190b20babf27016811ae4e04,1,13.0,2098.0,2,0.481998244
56,352693,6b5ae2c6990dfa9281ea5b8f437ed6bc868cc5cac182fb33c467e615dffe6926,1,12.0,1705196.0,3,0.5799293
57,352696,c6def618ad861703c025be4f41bdf7569310228ae93aeffc73088c520c79558d,1,2.0,444392.0,3,0.274140693
58,352699,af44e752f63f8e447bc6fdac56d364a2f22eabbdbbefc4e3573905618f811eb8,1,15.0,242106.0,4,0.956007367
59,352700,823fc5ce48cd827628ce0d1c574e6c3582cb772cf6173a9384df22d56bb72f0c,1,17.0,114439.0,2,0.260063977
60,352704,d416d6741710614ecf374202e7a0656dff8625efe57d6b2727d001b4e29ba532,1,12.0,1402359.0,2,0.271023753
61,352705,b600c0720096c241f5aec16b096c6a353492eee8a5855aa7f79d81390811d914,1,17.0,12207.0,2,0.45168788
62,352710,ffe5f2bd86ecfd7d0a0f4c4b76dd5c312649be95eb8b42dd8089cffc788b4a9e,3,19.0,21647.0,4,0.985709075
63,352715,f639713136b62556a72db5f4732cedc8340da74ba3df8ea30cdead73d816da6e,1,18.0,163630.0,2,0.530921329
64,352816,f61ff14376ea694229a8ea2f9f5237294c1ee97d9312a01c11df8971acf0c5ea,1,5.0,7883.0,2,0.792279742
65,352819,b8cc477cdb4db116c5f53248b99df135b8b018646c7d81f6a726225c98d93768,1,12.0,402980.0,6,0.460904902
66,352857,d5ad9439b75f1ee66f9d828f04d19055adcfe25df1d9be37b5dd0352a43de20f,1,19.0,3522151.0,5,0.564600118
67,352858,04ac4e9d22843711c4c1276de3b55c377016e2158f280f1281ca3b17b018e994,3,14.0,1441976.0,4,0.153460063
68,352859,4daa04cc24d827fe8bca0ab268bba06b8aeffcf8c5c1217d87654d5d4c8ed4ea,1,14.0,975.0,5,0.716753317
69,352865,20198b84c0b319c0e9e16ed178194e0c7ebed40e4b8fabfcd7687f178e684d23,3,9.0,2144675.0,4,0.887271539
70,352866,e50deb3f2f87bf45e04940303f80c96929c836b0b03f54f9681272186d9e466e,1,12.0,309830.0,4,0.199005803
71,352870,990e17732f5f106f7b50ece595f072fe48214dbb210176457e8d8602c9953d72,1,17.0,228.0,3,0.592246682
72,352871,bdda3ef79c5f052fd281c9f28f50a25977444eceaf9751e4595fcb6099a48ea0,3,19.0,2390889.0,4,0.802398629
73,352872,0cda333980decc8bad60985c8420e3e36577163306c3c78c12b624284766bc50,1,4.0,2632963.0,4,0.633660881
74,352874,462b0f3ea421c13cca6494f85b0f625dba44dae33a728544680d7e2212e92d8a,3,17.0,554705.0,3,0.816587813
75,352876,f38edbd67bd5c431d82edd1ee898dcb7dcbe5bb8bc97e575b6ea564a57fc0bbb,2,12.0,207586.0,2,0.04344871
76,352877,eb128554ce8d223883c90f1aa41355051fe62bc2c15e54bd019891c21ef1b782,3,13.0,309683.0,2,0.664989249
77,352880,fe69b536bfc0589e8198533243f08b2b9401bc352039f97472c39ca0f1536fa5,1,12.0,835448.0,3,0.347926533
78,352886,5deb26d41f21535fe62ba7b458c8a1c19aa2c449c19b58e57f517d00eb27087e,1,12.0,904.0,2,0.680904249
79,352888,49f3128a76c44b29d9de1e3e41185cb2f091c3762501e080795c2bb2f8c49622,3,19.0,1758714.0,2,0.664729771
80,353030,8007d0769e00d34c3e54cc55c992b1b26ff0913bca717b5004a7ea93d345ffb5,1,19.0,205660.0,5,0.806573079
81,353032,74214c478dc6519fbefe4bc31693865bdcd698ab974b6435bb8fa842a3ed4fd8,3,15.0,201906.0,5,0.157876529
82,353033,094c70ecdc5d71000fe12e4ef9eb341ba07f7c18233a96aa661cd0995f4956d0,1,18.0,236358.0,5,0.315960144
83,353041,fe0b3b09a3b8c5435d55a286ecd4fb416e96d3231abdf27c975bf8606a0b559c,3,12.0,2422.0,4,0.603840179
84,353043,9df84862272aa8b1d36b2c9574aedf16b03c1737e136b923095c373bcce2328d,1,17.0,173255.0,4,0.977038063
85,353045,9ac7efb5259817f80f9731ef7b625e9e9640e8a539377e4312b605c45742d888,3,15.0,190972.0,4,0.961940663
86,353047,870252ba9d2d6cb4433ce4718b80b2e69cf73adcc7e92657e8383e2f281cc13c,3,12.0,876408.0,3,0.177405434
87,353051,ad401c32c48cf7a2d070751ca67ed2678f07cc9cec801b6be85b6358d038afdf,1,17.0,2470345.0,4,0.996548619
88,353054,2886a332d3530dcbfebeb0292251d04c1e0c20e767051dbfafd1e09fd7b864f4,1,9.0,5845.0,4,0.811419186
89,353056,a3f3ab8ef1dc14645641197c93c50af693039cc6f2b879ae5c37b2d3b8dbd8dc,3,15.0,1004090.0,4,0.650036925
90,353059,f445b77034a22fab5068858df409b857f129e729922974d9c36d2e1c145dd7c6,1,19.0,833139.0,2,0.220093297
91,353065,5a8119fd3c9443d288c197886597ffdb9cd2e7359081db092e3e0ee14af21560,1,17.0,925636.0,2,0.582250861
92,353072,b85d0a2e03dd24bee012fee7df3e88476b6ed3aadfde1a73618551723813d18a,1,17.0,20632.0,2,0.5242343
93,353074,8fecd4fa8d2b15ae814a0f36b6e313cf41ddaa3fb44a260038c592a9244a6612,2,4.0,511225.0,2,0.555036145
94,353075,7c837e7fed6cf5929fae874806c00f4b6abcfe7534042f9178c604ed201344c2,1,18.0,3089.0,2,0.922601497
95,353077,8cc21d9d4e328562fb96d10b2d698714c95a48662b379d8aad7ba5290d71a5a0,1,12.0,296610.0,3,0.467342095
96,353080,196d8720ded07e7f8f7f457ce45cb712bcecb86084bebcc1696d4356c1451b63,3,12.0,612138.0,2,0.966264519
97,353083,51d9f1c083dfbba0c459d86f1aa8a2ae6c83f42e9b2a7a44955999a373160b23,1,12.0,106656.0,3,0.678031627
98,353084,9511f60e15bc81c48ece6c0ff54871a6593cf55886a02a0f35315d9e9675c0c2,1,19.0,0.0,2,0.855999832
99,353166,8e44435a24ccd4dff3d3ec6a1c635331120d3a7a9ef197a49d8449f71002f2ee,1,17.0,0.0,2,0.916463747
100,353172,e708c14646ea9dec8cbd1dafc15a9a04ceb6da60975b4f96fed555a11f17b427,1,17.0,1546.0,7,0.1124295
101,353178,564a2c5590341c9ea59cd8f50d78b89be79a3df35ac4c97b9bed880f13b64a9a,1,17.0,2323616.0,7,0.84776676
102,353198,e402892bfde9722d2c77f682c8598de27a0ab264c6176beee6a294c84768b1f6,1,12.0,1189285.0,5,0.816825888
103,353200,5da5ec815c6888e6a5aa7301f71aaa61b4d28a8962b9654d64e0050e5b05ca79,1,15.0,247836.0,5,0.06291998
104,353201,6a293c3be2a89f2115f1c777c530d2dadac8afb3f1fdab358156fb2a31775f6a,1,12.0,2210827.0,5,0.574073675
105,353205,454ff504b670c3fdf92087d6c44fe2b33211f19920badbf8c55341ee36255a27,1,17.0,575493.0,4,0.377956264
106,353209,04ac4e9d22843711c4c1276de3b55c377016e2158f280f1281ca3b17b018e994,3,14.0,1441976.0,4,0.191262064
107,353213,c2ad0ccf7c4349a266c4970482a28c024b341e5e490d0de780a34bbc05e54602,1,14.0,2886933.0,4,0.19406518
108,353220,22f043b4f96fe1b44b628491d2707242b02d9dd48006612bdd2823764b9911f4,3,12.0,918230.0,2,0.390404043
109,353227,c1122b414958c98c43f3879e543dae4b4cd0374cdf8f2e1fa6ebcdc247cbcfe0,1,18.0,341725.0,3,0.910690752
110,353229,462b0f3ea421c13cca6494f85b0f625dba44dae33a728544680d7e2212e92d8a,3,17.0,554705.0,3,0.77545464
111,353231,24110a2ec5a36adb9dbb6540faf32719b82f3b181cc37ceab0041e2a35a2cc87,1,17.0,565453.0,4,0.679444437
112,353233,eb128554ce8d223883c90f1aa41355051fe62bc2c15e54bd019891c21ef1b782,3,13.0,309683.0,2,0.238350264
113,353234,891aa3687ff0b73637f88ad06d51247d6dd1d64f86e61a3ebc9e2c494d77a9f8,3,17.0,84272.0,3,0.423019028
114,353236,701cc14702a42f197624ef26a56711acd08e6c8e885d969e02d911f762986737,1,18.0,15620.0,2,0.1461144
115,353241,c9e94a43acd8c0780df93b1777859da7a6e31c692ef0737848dae56c0db32c2c,1,17.0,14463.0,2,0.011959398
116,353243,5404b88d7816e32feb1f84b6b836d8dbf3e7a76705a330715613dcfd73aa54ee,1,19.0,0.0,2,0.533219875
117,353247,49f3128a76c44b29d9de1e3e41185cb2f091c3762501e080795c2bb2f8c49622,3,19.0,1758714.0,2,0.980887601
118,353248,df11307f6e8372f1ab198c8de7d1dadddc4fa244565bfdcce428e49437e8c1da,1,11.0,1818058.0,2,0.257793675
119,353359,6bc01cd68f5d008ecea7bfb6be5fdd913688c780fce99ac86654cc570ca73b99,1,12.0,19099.0,4,0.556673908
120,353366,10a082d613a789acd3abc2648c84585e92e93d7fa20591c50a33899a9c03fe61,3,15.0,226357.0,5,0.541229247
121,353376,76de39a510df17444d09a2e18c3330aeb629c6b00b5f198911d96d3831e82328,1,18.0,1770992.0,3,0.472578743
122,353383,79caee7bb4182d7ff1667ca33fa160e0d3592f1ab8076bb07a20e8f379134205,1,19.0,359609.0,5,0.583487999
123,353385,098cdef7ce63ba45aa14b481f041d9fce5f99b9fdf2da0d625a61b752cfdaae3,2,18.0,1766292.0,4,0.056642104
124,353386,527dd6eac484d5eea04a17a444f6cb8d854ec603ea5bbc94db16752a58d1e357,1,17.0,516.0,2,0.440701646
125,353388,3ef18dd1f8b614f6b94ed2bcd002f69941ff125dc0b135a05da8df29e00c647c,1,19.0,105.0,3,0.305771782
126,353394,605be1af0245f872d8adc5b5e23cafb27a4de11247dd07d90ea0b79f1da191de,1,18.0,58111.0,3,0.635902947
127,353396,c1fd75c8241202e9fbe747d44851dd5ba082b5e368b1b3b5f62a13f96e460b27,3,19.0,1415448.0,3,0.225837434
128,353399,4e02ed7bf1271c06a307586d206ca1a01be531e0070dd99e1c83fa4fd4781492,3,12.0,101742.0,2,0.601857466
129,353403,3182ab9ecb0e19b96a0a68723490c01cc46dbc1e8d8a31801c9a010b436eee89,1,12.0,324044.0,3,0.934196883
130,353404,789ea5446f9ac1673fa6a93d2a19410a615692cd34d8ab00ce5c268ac6a87933,1,19.0,42186.0,2,0.538683726
131,353405,c2df034871c5ef37f00205359e308bb6039d9e43eaa93d4073cc5a9fa4daeafe,1,9.0,209434.0,2,0.644358911
132,353407,54120a833a4e411f5e15fd3fbdf32e9cd66e000cd6f5ba24bc910ce5e3d46275,1,18.0,718481.0,3,0.593314627
133,353413,7844d12452c6319c9a1d6cee9d4c173d4a2b151a5c632c15b73196b84be493c9,1,3.0,96316.0,3,0.320040861
134,353415,fef9844c072dca4a611ca877becb3763580178b6cf3665d70619cbca56baac71,1,5.0,1836187.0,2,0.363430198
135,353416,c07d43f34b42136114589d2959de206f5f3abdac910010d7490fde59b7807ad8,1,19.0,1112.0,4,0.953119993
136,353494,7224e3a067b5e90c9b2a5bdbcfe81884505ab44f0566aecd3940244d1b99d817,1,19.0,83133.0,3,0.280808575
137,353518,d11b9cd483cf1fe9d2c26de44af17d86707e1b9159c2b2a5235ef01aa8aa9376,1,5.0,6166.0,2,0.009138636
138,353540,9586b80d3ad1d74c0a1efe792cae2ecd073243fb01ed33fa1f70867748596bd5,3,3.0,262604.0,6,0.361193115
139,353541,b01aea4682b7939196d577f79f9190028ff2aaa7157db99a5a6ddafe9da1e512,3,12.0,67019.0,5,0.574897755
140,353545,f89813ecde214fcec58714614aada8c8999067c265988e712bc90ea82ec1b5a3,1,9.0,40161.0,5,0.255937608
141,353549,54c04f1809054b1558b09dea4679810db1224205e3efb0fa11bf38b6381a9c9f,3,16.0,110515.0,5,0.13583936
142,353550,1ce1c66d64dd1ca22bf0770832213f81ba0a531ba63f3f2195233a3a26f79887,1,17.0,1287860.0,5,0.968447345
143,353556,1364f23b15c2dc8378bce78277707d611ad656d8b75de81bfc83a7ee2b814b1e,1,15.0,0.0,5,0.754410862
144,353558,3c97bfde6aa4cdc6b971adca276fb4442666fe68e4d1d6a4c3e2564bc86f0115,1,17.0,683.0,4,0.950851535
145,353560,f051bc7a02f142468b29f1697e7db9ae324de2ceea67d55997cb8514f2fa5f32,1,18.0,19349365.0,4,0.540730422
146,353561,7d8be00ad18f1fa336fca153f0f06e86625336863fa71114f57e473fd87b59b0,1,9.0,373218.0,4,0.713359032
147,353566,35cf824c1d24ad2aa716e272a007025f41943ffa6e9cb6d5f447a6fe304fa8f6,1,13.0,150.0,3,0.412481511
148,353568,84a6fa479a5dde2086d08d056c0bb72ae371034bdfbb1fe644e7769eab2e5231,1,12.0,906.0,3,0.352234417
149,353569,9a56b2de3a0f5030a014b2a8ee165a6641b35325a23aa0842e35a034217c0cc7,1,9.0,711035.0,4,0.576589982
150,353571,84858ffc804662a027506235c53cec0f508bb220d5af3e6cce21129462cb7bc6,2,17.0,184681.0,4,0.643410342
151,353578,c6def618ad861703c025be4f41bdf7569310228ae93aeffc73088c520c79558d,1,2.0,444392.0,3,0.932939
152,353579,a5e7328d1b4a8703d432503cd84b163de16f67324a72d1f723313f7278e64f18,1,17.0,403354.0,4,0.288079175
153,353582,823fc5ce48cd827628ce0d1c574e6c3582cb772cf6173a9384df22d56bb72f0c,1,17.0,114439.0,2,0.51741476
154,353586,b600c0720096c241f5aec16b096c6a353492eee8a5855aa7f79d81390811d914,1,17.0,12207.0,2,0.361765176
155,353587,06c5ea5ccda4dfd8839c0dec8646fb3071d2c02883ef8a9f715aaa74f38d2419,1,17.0,259985.0,4,0.765910492
156,353589,9e0260837cd7b7ce8212a55078d908ff7f6c770dac6a61098af6b5aefb21ea6d,1,19.0,386.0,2,0.422407496
157,353592,d35491b58499e382542b6be80138b583b46fea5a5710fe07eb6c6a3f52d145c3,1,19.0,63282.0,2,0.404915009
158,353596,f639713136b62556a72db5f4732cedc8340da74ba3df8ea30cdead73d816da6e,1,18.0,163630.0,2,0.830165176
159,353823,01c705b457297805c1c08137cb3adb164b8f393c265db2c3aff0a5484a703302,3,19.0,390912.0,4,0.456279301
160,353825,4fe33547885e7b78e53ee0e75cc718659cc329334d2cb3e3d27fbf90c845f69a,1,20.0,2042794.0,3,0.561110188
161,353831,e26f2539372bb175d7253b82905e5c9ce287e00bbe3e0ddd62ad60ef5754de36,1,19.0,2276481.0,5,0.830143552
162,353833,437f252b4b9efa525619c0fb7e7019fcb7ec33a754909125e97c80f8cc564f99,3,12.0,868378.0,4,0.96798728
163,353835,bc2d8f0134895f6deaee4eb189e06d8a81a5c25443559f2528254e87100b57ea,1,9.0,529947.0,4,0.041654007
164,353843,04ac4e9d22843711c4c1276de3b55c377016e2158f280f1281ca3b17b018e994,3,14.0,1441976.0,4,0.477931194
165,353847,c2ad0ccf7c4349a266c4970482a28c024b341e5e490d0de780a34bbc05e54602,1,14.0,2886933.0,4,0.261190083
166,353848,496705d17253600f1cd4b9f71ac91c941df9eda28af40f3331685018974a5d23,1,17.0,123577.0,5,0.381382025
167,353851,20198b84c0b319c0e9e16ed178194e0c7ebed40e4b8fabfcd7687f178e684d23,3,9.0,2144675.0,4,0.683748329
168,353855,22f043b4f96fe1b44b628491d2707242b02d9dd48006612bdd2823764b9911f4,3,12.0,918230.0,2,0.568404378
169,353857,a7b2a16d1121ffe01552b25fad838a79ac6fe6908d20e1d655b02495a5d7e0df,1,10.0,5909.0,3,0.714931771
170,353860,4974cd07394c019c0dc9ba01e949ac581e65e5aa74e4392dece7e8a1f292e6e3,1,17.0,264699.0,3,0.052622983
171,353861,f982ba53c9d010338106a128ca871d1cafabf4795c3b81e4e2e3206016b7577f,1,17.0,6316.0,3,0.047276641
172,353864,8a89be5b38f76afa6deeb419c9efd97fca86463faba234f3d798db28be3a91f6,1,19.0,79871.0,3,0.581807048
173,353865,c1122b414958c98c43f3879e543dae4b4cd0374cdf8f2e1fa6ebcdc247cbcfe0,1,18.0,341725.0,3,0.314526576
174,353867,6efeeb2724b7ef6b05aff38f12a0fac0e464bc411f430bb3cad8bd1bddb18e5a,1,18.0,159317.0,3,0.523640376
175,353868,462b0f3ea421c13cca6494f85b0f625dba44dae33a728544680d7e2212e92d8a,3,17.0,554705.0,3,0.025622601
176,353870,24110a2ec5a36adb9dbb6540faf32719b82f3b181cc37ceab0041e2a35a2cc87,1,17.0,565453.0,4,0.637113379
177,353872,9b283dff9c2ae2e96da7e09b55cf1d5c5c56b388c37cb9199484c84de9e049c9,1,17.0,32.0,3,0.029439178
178,353875,eb128554ce8d223883c90f1aa41355051fe62bc2c15e54bd019891c21ef1b782,3,13.0,309683.0,2,0.496868276
179,353878,39e5271b996829c52e0358637e4e79a26e21c79d8fa153317b5a77223efc16d3,1,12.0,23454.0,2,0.11767231
180,353879,701cc14702a42f197624ef26a56711acd08e6c8e885d969e02d911f762986737,1,18.0,15620.0,2,0.450655143
181,353885,5404b88d7816e32feb1f84b6b836d8dbf3e7a76705a330715613dcfd73aa54ee,1,19.0,0.0,2,0.882177578
182,353888,5deb26d41f21535fe62ba7b458c8a1c19aa2c449c19b58e57f517d00eb27087e,1,12.0,904.0,2,0.060644959
183,353890,49f3128a76c44b29d9de1e3e41185cb2f091c3762501e080795c2bb2f8c49622,3,19.0,1758714.0,2,0.468089499
184,354007,e8b633d446fb7765581d64205efd8dfa059215aa4b1d742543b378f1f2c73fee,1,19.0,247918.0,5,0.013656917
185,354013,10a082d613a789acd3abc2648c84585e92e93d7fa20591c50a33899a9c03fe61,3,15.0,226357.0,5,0.387573069
186,354014,e5f207e25a86e3121f14fb76729350aa06f5a4ec434077520769cceb1ee7d68d,1,17.0,1310883.0,6,0.808715524
187,354015,1a3efa69705f611c7ef2384a715c8142e2ee801cfec9df4eb21131c33fc247a7,3,9.0,553993.0,6,0.342372116
188,354022,9e69ce9ccd13ab3ce7ac24c4b4e8a8f4e722de73b0e70be4f850a6d78cc2b261,1,9.0,2218347.0,5,0.758729969
189,354024,76de39a510df17444d09a2e18c3330aeb629c6b00b5f198911d96d3831e82328,3,18.0,1770992.0,3,0.600343126
190,354027,feb310d5ace25411b83cae1acaa1af55d9f2241489604c10528b7f3d54efe4d4,1,19.0,0.0,6,0.943786105
191,354039,c1fd75c8241202e9fbe747d44851dd5ba082b5e368b1b3b5f62a13f96e460b27,3,19.0,1415448.0,3,0.740271811
192,354040,b434f69a71b6e4ccb7e43f2a16f33d6229f8a1fa31c8793a638c76b4972af53a,1,17.0,168008.0,3,0.547676215
193,354044,a62d70911e788d5fe609d2a7bb3ab800cb3c1ab4e923658fe066a9b3f225410a,3,1.0,2169802.0,2,0.896646277
194,354045,54120a833a4e411f5e15fd3fbdf32e9cd66e000cd6f5ba24bc910ce5e3d46275,1,18.0,718481.0,3,0.458783349
195,354047,2fd79d7d8847884d1b4ad649c1bea7b9639bb2ad850cca5752d0de383c3244e4,1,1.0,450.0,2,0.015720837
196,354048,e9f1eb29fee8332320ab602ec60bd9f807e6b1a86f3a5cd40d87a9acd4cf8be4,1,16.0,39739.0,3,0.688039657
197,354049,7f69fa9eab8f397d367e2bb61ee1fa008999a0aab91e061e8f4bfe25fb35807d,3,12.0,2285386.0,3,0.054085967
198,354054,7844d12452c6319c9a1d6cee9d4c173d4a2b151a5c632c15b73196b84be493c9,1,3.0,96316.0,3,0.112685454
199,354061,91a6018989718394178aabdd9074cd302f520f13a30bd40d7cae89b0eec8ba1c,1,19.0,371514.0,2,0.596108175
200,354143,7224e3a067b5e90c9b2a5bdbcfe81884505ab44f0566aecd3940244d1b99d817,1,19.0,83133.0,3,0.875632885
201,354177,b212d14cb35676926682b2cf849e295d948888f556c07e854c4cdad9f32f5084,1,2.0,98177.0,2,0.121612736
202,354178,e22dc15d74a3696f28a930e3cbe07ec3ef8d27c338cd0f98ca7330ccc8c97665,1,17.0,412989.0,2,0.656281701
203,354211,74214c478dc6519fbefe4bc31693865bdcd698ab974b6435bb8fa842a3ed4fd8,3,15.0,201906.0,5,0.079538208
204,354212,9b45aeac29df071d12003b462f5a3afdf5e506f5d75771de5fa610172b88f2ce,1,17.0,2946.0,5,0.56143883
205,354218,8af18d87937633313c1040db8b01bd51bced5a9c041bff85f262aa64dee63864,1,19.0,221324.0,4,0.110195158
206,354220,13c7d020871fe6ceaec1a4b5a1f4675db7daf9536caf7370596bdaaec8ff4a66,1,15.0,21984.0,3,0.228480072
207,354223,fe0b3b09a3b8c5435d55a286ecd4fb416e96d3231abdf27c975bf8606a0b559c,3,12.0,2422.0,4,0.42875406
